slug,Concelho,Agenda events,On site,Last swept,Notes
lisboa,Lisboa,1374,58,,
porto,Porto,898,27,,
coimbra,Coimbra,142,17,2026-09-09,
obidos,Óbidos,135,0,2026-09-09,"Page returned 2025 dates (FOLIO 2025) - archive content, nothing added"
paredes,Paredes,119,0,,
braga,Braga,118,40,2026-09-09,Was 26 events all at Forum Braga before this sweep
aveiro,Aveiro,115,10,2026-09-09,Teatro Aveirense dominates the agenda itself; look for the Festas do Municipio and Feira do Livro strands
montijo,Montijo,109,3,2026-09-09,Undated items are all printed under one placeholder date - take only rows with a real date
guimaraes,Guimarães,90,12,2026-09-09,
povoa-de-varzim,Póvoa de Varzim,88,0,,
vila-nova-de-gaia,Vila Nova de Gaia,88,8,2026-09-09,
faro,Faro,68,21,2026-09-09,"nocartaz page was serving August - stale. Use viralagenda.com/pt/faro, which covers the whole Algarve district"
matosinhos,Matosinhos,67,0,,
mafra,Mafra,63,0,,
santa-maria-da-feira,Santa Maria da Feira,56,0,,
santarem,Santarém,56,1,,
viseu,Viseu,56,1,,
ovar,Ovar,55,0,,
funchal,Funchal,54,1,,
alijo,Alijó,48,0,,
evora,Évora,47,7,2026-09-09,"Most of the listing was the Artes a Rua festival, which had nearly finished"
braganca,Bragança,46,0,,
vila-franca-de-xira,Vila Franca de Xira,42,0,,
angra-do-heroismo,Angra do Heroísmo,41,0,,
ponta-delgada,Ponta Delgada,38,0,,
almada,Almada,37,2,,
cascais,Cascais,37,3,,
gondomar,Gondomar,35,0,,
oeiras,Oeiras,35,1,,
cantanhede,Cantanhede,32,1,,
setubal,Setúbal,31,36,,
maia,Maia,28,0,,
marinha-grande,Marinha Grande,28,0,,
moita,Moita,28,1,,
palmela,Palmela,28,4,,
santiago-do-cacem,Santiago do Cacém,28,0,,
lajes-do-pico,Lajes do Pico,27,0,,
calheta,Calheta,26,0,,
valenca,Valença,26,0,,
beja,Beja,23,1,,
figueira-da-foz,Figueira da Foz,23,2,,
sao-joao-da-madeira,São João da Madeira,23,0,,
loule,Loulé,21,4,2026-09-09,Reached via the viralagenda Algarve page
vila-nova-de-famalicao,Vila Nova de Famalicão,21,0,,
barcelos,Barcelos,20,0,,
portalegre,Portalegre,20,0,,
viana-do-castelo,Viana do Castelo,20,0,,
fafe,Fafe,18,0,,
penafiel,Penafiel,18,0,,
entroncamento,Entroncamento,17,0,,
lagoa,Lagoa,17,0,,
vila-real,Vila Real,17,0,,
alenquer,Alenquer,16,0,,
