Place,Town,Condition,Requirement,Regular price,Notes,Source
Museu de Lisboa (Palácio Pimenta),Lisbon,Sundays & holidays until 14:00,Lisbon residents,€3,Casa dos Bicos site is always free to everyone,https://www.timeout.pt/lisboa/pt/coisas-para-fazer/guia-para-nao-pagar-entrada-nos-museus-em-lisboa
MAAT — Museu de Arte Arquitetura e Tecnologia,Lisbon,First Sunday of the month 10:00-13:00,Portugal residents,€11,Show ID/NIF proving Portuguese residency at the desk,https://www.timeout.pt/lisboa/pt/coisas-para-fazer/guia-para-nao-pagar-entrada-nos-museus-em-lisboa
MAC/CCB — Museu de Arte Contemporânea,Lisbon,Every Sunday until 14:00,Portugal residents,€15,,https://www.timeout.pt/lisboa/pt/coisas-para-fazer/guia-para-nao-pagar-entrada-nos-museus-em-lisboa
Fundação Arpad Szenes – Vieira da Silva,Lisbon,Every day,Lisbon residents,€7.50,Free for all visitors on Sundays too,https://www.timeout.pt/lisboa/pt/coisas-para-fazer/guia-para-nao-pagar-entrada-nos-museus-em-lisboa
Museu da Marioneta,Lisbon,Sundays & holidays until 14:00,Portugal residents,€5,,https://www.timeout.pt/lisboa/pt/coisas-para-fazer/guia-para-nao-pagar-entrada-nos-museus-em-lisboa
Museu Nacional de Arte Antiga,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€10,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
Museu Nacional do Azulejo,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€10,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
Museu Nacional de Arqueologia,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€6,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
Museu Nacional dos Coches,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€8,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
Museu de Arte Contemporânea do Chiado,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€6,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
Casa-Museu Dr. Anastácio Gonçalves,Lisbon,Rotating dates — part of the national 52 free-days programme,Portugal residents,€4,Check the museum's calendar each month for the exact free date,https://www2.gov.pt/pt/noticias/museus-monumentos-e-palacios-com-entrada-gratis-52-dias-por-ano
