Market,Category,Town,Location,~km from Setúbal,Frequency,Days & hours,Types of goods,Entry,Notes,Source,Added on,Image
Livramento Market (Mercado do Livramento),Municipal food market,Setúbal,"Av. Luísa Todi 163, Setúbal",0,Daily,Tue–Sun mornings (closed Mon),"Fish (famous fish hall), fruit & veg, meat, cheese, bread, flowers, Azulejo-tiled halls",Free,Regularly rated among the best food markets in the world; go early for fish,https://www.mun-setubal.pt/mercado-do-livramento/,2026-09-08,
Setúbal Organic Market (Mercado Biológico de Setúbal),Organic / farmers',Setúbal,"Largo José Afonso, Av. Luísa Todi",0,Weekly,Thursdays 09:00–14:00,"Certified organic fruit & veg, honey, bread, aromatic & medicinal plants",Free,Local certified organic producers only,https://www.reformaagraria.pt/feiras-mercados/setubal/setubal/mercado-biologico-de-setubal/,2026-09-08,https://imagens.reformaagraria.pt/feiras-mercados/grandes/mercado-biologico-de-setubal.jpg
Setúbal Antiques & Flea Fair (Feira de Antiguidades e Velharias),Antiques / flea,Setúbal,Largo José Afonso / Av. Luísa Todi,0,Twice monthly,"1st & 3rd Saturdays, 09:00–17:00 (Oct–Mar) / 09:00–19:00 (Apr–Sep)","Antiques, second-hand, collectibles, coins, books, bric-a-brac",Free,Venue has moved between Av. Luísa Todi and Largo José Afonso — confirm on the day,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
Quinta do Anjo Village Market (Mercado da Aldeia),Farmers' / producers',Quinta do Anjo (Palmela),Largo by the Quinta do Anjo municipal market,10,Weekly,Saturdays 07:00–12:00,"Organic fruit & veg, Azeitão DOP cheese, organic bread, fresh fish, regional sweets",Free,,https://www.aconteceagenda.pt/evento-75/mercado-da-aldeia-aos-sabados-na-quinta-do-anjo,2026-09-08,https://www.aconteceagenda.pt/amrs2/uploads/event/image/9087/noticia_mercado_da_aldeia.jpg
Pinhal Novo Car-Boot Market (Mercado da Bagageira),Car-boot / second-hand,Pinhal Novo (Palmela),Mercado Municipal do Pinhal Novo,15,Weekly,Sundays from 08:00,"Second-hand household goods, clothes, toys, bric-a-brac",Free,,https://www.viralagenda.com/pt/setubal/palmela/markets-fairs,2026-09-08,
Pinhal Novo Monthly Market (Mercado Mensal),General / levante,Pinhal Novo (Palmela),"Rua Lagoa da Palha, Pinhal Novo",15,Monthly,Check CM Palmela calendar for the day,"Clothing, footwear, household goods, plants, food stalls",Free,Big traditional open-air market; date varies — see cm-palmela.pt,https://www.cm-palmela.pt/viver/economia-local-e-metrologia/mercados-de-levante-e-feiras/mercado-mensal-de-pinhal-novo,2026-09-08,
PN Market,Weekend market,Pinhal Novo (Palmela),Mercado Municipal de Pinhal Novo,15,Weekly,Sat–Sun from 07:30,"Fresh produce, regional products",Free,,https://www.viralagenda.com/pt/setubal/palmela/markets-fairs,2026-09-08,
Corroios Organic & Sustainable Market,Organic / farmers',Corroios (Seixal),Largo do Mercado de Corroios,30,Weekly,Saturdays 09:00–13:00,"Produce from organic, educational, urban and solidarity gardens",Free,Run by Grupo Flamingo and the parish council,https://www.cm-seixal.pt/evento/mercado-de-produtos-biologicos,2026-09-08,https://www.cm-seixal.pt/sites/default/files/styles/640x426/public/mercado_prod_biologicos.jpg?itok=XgJsyQTX&timestamp=1485255974
Almada Agrobio Organic Market,Organic / farmers',Almada,Praça das Forças Armadas,35,Weekly,Saturdays 09:00–14:00,"Certified organic fruit & veg, bread, eggs, preserves",Free,,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
Feira da Ladra Flea Market,Antiques / flea,Lisbon,"Campo de Santa Clara, São Vicente",45,Twice weekly,Tuesdays & Saturdays 09:00–18:00,"Antiques, vintage clothes, coins, stamps, vinyl, books, tiles, curios, junk",Free,Lisbon's oldest flea market; closed 25 Dec & 1 Jan,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
