slug,Venue,Town,Last swept,Rows added,Notes
vLcyY,Teatro de Bolso,Setúbal,2026-09-22,0,"DORMANT — page shows only ""Espetáculos Anteriores""; newest row is May 2026. Nothing current."
AFvF,Fórum Municipal Luísa Todi,Setúbal,,,
3ZvC,Fórum Cultural do Seixal,Seixal,2026-09-22,0,"DORMANT — archive only; a ""December 3-7"" row with no year, ambiguous, skipped."
rI9R,Teatro Municipal Barreiro,Barreiro,2026-09-22,0,"DORMANT — archive only, Mar–Jun 2026. Nothing current."
mBV4,Auditório Municipal Augusto Cabrita,Barreiro,,,
z2YO,Cineteatro Municipal João Mota,Sesimbra,,,
o8U6,Casa da Música Jorge Peixinho,Montijo,,,
02Pd,Sociedade Filarmónica 1.º de Dezembro,Montijo,,,
mpMmE,Cinema-Teatro Joaquim d'Almeida,Montijo,,,
QxmaW,Salão das Carochas,Almada,,,
LECo,Teatro-Estúdio António Assunção,Almada,,,
rBnR,Academia Almadense,Almada,,,
7yUn,CTA Almada,Almada,,,
Tdf4,Teatro Municipal Joaquim Benite,Almada,2026-09-22,,TMJB harvested direct from ctalmada.pt 22 Sep (7 rows)
FCmx,Teatroesfera,Lisbon,,,
eov5,Centro Cultural de Carnide,Lisbon,,,
IVwb,Cine-Teatro Turim,Lisbon,,,
pHlg,Com Calma - Espaço Cultural,Lisbon,,,
vAaw,Teatro Amélia Rey Colaço,Lisbon,,,
OcQm,Teatro Armando Cortez,Lisbon,,,
nb9X,Teatro Papa-Léguas,Lisbon,,,
EyRu,Auditório Carlos Paredes,Lisbon,,,
UJUP,Casa do Coreto,Lisbon,,,
8CZq,Centro Cultural Malaposta,Lisbon,,,
BdZtK,Teatro de Caselas,Lisbon,,,
Oq6g,Espaço Bento Martins,Lisbon,,,
txsU,Boutique da Cultura,Lisbon,,,
hOoo,Centro Cultural Franciscano,Lisbon,,,
Kbit,Karnart,Lisbon,,,
w2eX9,Planetário de Marinha,Lisbon,,,
J0W5,Auditório Orlando Ribeiro,Lisbon,,,
IKkc,Biblioteca Orlando Ribeiro/Fonoteca,Lisbon,,,
ZKrJ,Centro Cultural de Belém,Lisbon,,,
mnD0,Quinta Alegre,Lisbon,,,
eHDw,Clube Desportivo Império do Cruzeiro,Lisbon,,,
zmvC,LU.CA — Teatro Luís de Camões,Lisbon,2026-09-22,0,DORMANT — archive only. LU.CA is a children’s theatre; worth re-checking in season.
v75r,Aula Magna,Lisbon,,,
KUA8,Belém Clube,Lisbon,,,
ejfF,Academia de Santo Amaro,Lisbon,,,
Ic3q,Teatro da Comuna,Lisbon,2026-09-22,0,ACTIVE — Ópera-Pimba! 23 Sep–4 Oct. Used to correct an existing single-day row to its real run.
4gjy,Teatro Aberto,Lisbon,2026-09-22,0,"DORMANT — archive only (Caravana, Veneno, to Jul 2026). NOTE teatroaberto.com is also unfetchable, so this house has no working source."
fA1h,Hangar Espaço Cultural,Lisbon,,,
sXtp,Campo Pequeno,Lisbon,,,
5fRN,Jardim da Estrela,Lisbon,,,
yXYM,Auditório Emílio Rui Vilar,Lisbon,,,
S01q,Teatro Maria Matos,Lisbon,2026-09-22,2,"GOOD — two real runs with playing-day patterns (Pura Loucura, Cock Mon+Tue). Also corrected an existing one-night row to its real run."
W30U,Auditório Santa Joana Princesa,Lisbon,,,
EAkM,SMOP,Lisbon,,,
YoUq,Teatro do Bairro Alto,Lisbon,,,
67VK,Teatro Villaret,Lisbon,2026-09-22,,Villaret harvested direct 22 Sep (9 rows) — prefer teatrovillaret.pt
JFvV,Auditório do Liceu Camões,Lisbon,,,
1Od1,Teatro da Politécnica,Lisbon,2026-09-22,0,EMPTY — no shows in the directory at all.
zz6Y,Museu da Marioneta,Lisbon,,,
gO0O,Cineteatro Capitólio,Lisbon,2026-09-22,1,"ACTIVE, GOOD — Come From Away (corrected an existing row to end 4 Oct) and Liza Minnelli in December."
fcRg,Espaço Alkantara,Lisbon,,,
HVQq,Espaço Escola de Mulheres,Lisbon,,,
G22A,Teatro A Barraca,Lisbon,2026-09-22,0,"DORMANT — archive only, newest row Jul 2024. abarracateatro.com/agenda also robots-blocked; no working source for A Barraca."
J6aN,Parque Mayer,Lisbon,,,
p1W2,Teatro Maria Vitória,Lisbon,,,
N790,Teatro Tivoli,Lisbon,,,
RaO7,Teatro Variedades,Lisbon,2026-09-22,2,"ACTIVE, GOOD — two runs with full playing-day detail."
Ivb8,Colégio Pedro Arrupe,Lisbon,,,
Vf0y,Rua das Gaivotas,Lisbon,2026-09-22,0,EMPTY — no shows in the directory at all.
hq3t,Sala Estúdio Valentim Barros,Lisbon,,,
hViut,Sociedade Filarmónica João Rodrigues Cordeiro,Lisbon,,,
EQ4US,Beato Innovation District,Lisbon,,,
ymvE,Museu da Farmácia,Lisbon,,,
ZUNq,Teatro do Bairro,Lisbon,2026-09-22,1,As Preciosas Ridículas 24–27 Sep taken. Page gives playing times but no descriptions or prices.
Y7ZFg,Jardim do Torel,Lisbon,,,
fhuv,Coliseu dos Recreios,Lisbon,2026-09-22,0,No current shows; page invites users to submit. Coliseu dos Recreios is better reached through a concerts source.
MphO,Espaço Imperfeito,Lisbon,,,
frh8,Fluxus Stage,Lisbon,,,
dRUw,Teatro Politeama,Lisbon,2026-09-22,,Politeama harvested via teatro.app 22 Sep (2 runs)
Av1Z,Teatro da Trindade INATEL,Lisbon,2026-09-22,,Trindade season page harvested direct 22 Sep (15 rows) — prefer teatrotrindade.inatel.pt
2bxr,Time Out Market,Lisbon,,,
6ZpP4,Escola do Largo,Lisbon,,,
3CBI,Livraria Sá da Costa,Lisbon,,,
rSoc,São Luiz Teatro Municipal,Lisbon,2026-09-22,,São Luiz season page harvested direct 22 Sep (48 rows) — prefer teatrosaoluiz.pt over this page
QziG,Teatro Nacional D. Maria II,Lisbon,2026-09-22,,D. Maria II harvested via teatro.app 22 Sep (Macbeth). tndm.pt 404s on every path — this page is the only route.
tB11,Teatro Bocage,Lisbon,,,
ufhmu,Tasca das Artes,Lisbon,,,
uJMZ,Chapitô,Lisbon,2026-09-22,0,"TRAP: page presented ""Ensaio sobre a Lucidez"" as current but the dates resolve to 2024. Verify the year by weekday before writing anything from Chapitô."
xLHJ,Espaço Laboratório,Lisbon,,,
zTPgP,Teatro Taborda,Lisbon,,,
qGx5v,Teatro Romano,Lisbon,,,
HNtM,Altice Arena,Lisbon,,,
VRtz,Casino Lisboa,Lisbon,,,
YLOh,CAL — Centro de Artes de Lisboa,Lisbon,,,
IZPn,Biblioteca de Marvila,Lisbon,,,
viVw,Casa Cheia,Lisbon,,,
Pnpk,Museu da Água,Lisbon,,,
JdIl,Fábrica Braço de Prata,Lisbon,,,
xc5e,Ferroviário,Lisbon,,,
bIGzn,ZDB 8 Marvila,Lisbon,,,
8Vq9,Teatro Ibérico,Lisbon,2026-09-22,0,DORMANT — archive only.
9gCB,Teatro Meridional,Lisbon,2026-09-22,,Meridional harvested direct 22 Sep — teatromeridional.net is the ONLY site so far that prints playing days
IyMxF,Teatro Paulo Claro,Lisbon,,,
